track 1;
100 Sensor1 233;
0 Sensor2 232;
0 Sensor3 233;
0 Sensor4 234;
60 Sensor5 233;
0 Sensor6 233;
61 Sensor1 235;
58 Sensor2 232;
0 Sensor3 232;
0 Sensor4 236;
0 Sensor5 238;
61 Sensor6 233;
60 Sensor1 233;
0 Sensor2 232;
0 Sensor3 232;
60 Sensor4 235;
0 Sensor5 234;
0 Sensor6 233;
120 Sensor1 235;
0 Sensor2 236;
0 Sensor3 233;
0 Sensor4 234;
65 Sensor5 234;
0 Sensor6 233;
55 Sensor1 234;
0 Sensor2 232;
59 Sensor3 232;
0 Sensor4 236;
0 Sensor5 235;
61 Sensor6 232;
60 Sensor1 233;
0 Sensor2 232;
0 Sensor3 232;
61 Sensor4 233;
0 Sensor5 234;
0 Sensor6 234;
58 Sensor1 234;
62 Sensor2 232;
0 Sensor3 232;
0 Sensor4 236;
0 Sensor5 237;
59 Sensor6 232;
60 Sensor1 234;
0 Sensor2 232;
67 Sensor3 232;
0 Sensor4 234;
0 Sensor5 234;
0 Sensor6 232;
113 Sensor1 234;
0 Sensor2 233;
0 Sensor3 233;
0 Sensor4 234;
61 Sensor5 235;
0 Sensor6 233;
59 Sensor1 233;
61 Sensor2 232;
0 Sensor3 233;
0 Sensor4 234;
0 Sensor5 234;
60 Sensor6 234;
60 Sensor1 234;
0 Sensor2 232;
0 Sensor3 58;
63 Sensor4 133;
0 Sensor5 234;
0 Sensor6 232;
57 Sensor1 235;
60 Sensor2 232;
0 Sensor3 233;
0 Sensor4 234;
0 Sensor5 60;
60 Sensor6 234;
60 Sensor1 233;
0 Sensor2 233;
0 Sensor3 232;
60 Sensor4 233;
0 Sensor5 52;
0 Sensor6 52;
58 Sensor1 232;
0 Sensor2 231;
61 Sensor3 232;
0 Sensor4 234;
0 Sensor5 235;
0 Sensor6 232;
120 Sensor1 232;
0 Sensor2 231;
0 Sensor3 299;
59 Sensor4 234;
0 Sensor5 235;
0 Sensor6 232;
61 Sensor1 233;
58 Sensor2 232;
0 Sensor3 232;
0 Sensor4 234;
0 Sensor5 235;
64 Sensor6 234;
56 Sensor1 232;
0 Sensor2 232;
61 Sensor3 233;
0 Sensor4 235;
0 Sensor5 234;
0 Sensor6 232;
120 Sensor1 233;
0 Sensor2 232;
0 Sensor3 233;
0 Sensor4 234;
58 Sensor5 235;
0 Sensor6 233;
61 Sensor1 232;
0 Sensor2 232;
62 Sensor3 234;
0 Sensor4 234;
0 Sensor5 240;
59 Sensor6 233;
60 Sensor1 233;
0 Sensor2 232;
0 Sensor3 232;
59 Sensor4 235;
0 Sensor5 234;
0 Sensor6 233;
61 Sensor1 233;
60 Sensor2 232;
0 Sensor3 233;
0 Sensor4 234;
60 Sensor5 235;
0 Sensor6 233;
60 Sensor1 233;
0 Sensor2 232;
61 Sensor3 232;
0 Sensor4 234;
0 Sensor5 233;
0 Sensor6 234;
124 Sensor1 232;
0 Sensor2 232;
0 Sensor3 233;
0 Sensor4 234;
54 Sensor5 234;
0 Sensor6 234;
61 Sensor1 233;
60 Sensor2 235;
0 Sensor3 233;
0 Sensor4 235;
0 Sensor5 235;
59 Sensor6 232;
60 Sensor1 233;
0 Sensor2 232;
59 Sensor3 233;
0 Sensor4 234;
0 Sensor5 234;
0 Sensor6 232;
124 Sensor1 232;
0 Sensor2 235;
0 Sensor3 233;
0 Sensor4 234;
62 Sensor5 235;
0 Sensor6 232;
56 Sensor1 232;
59 Sensor2 234;
0 Sensor3 233;
0 Sensor4 235;
0 Sensor5 235;
67 Sensor6 235;
61 Sensor1 233;
0 Sensor2 233;
0 Sensor3 234;
58 Sensor4 236;
0 Sensor5 235;
0 Sensor6 233;
181 Sensor1 233;
0 Sensor2 232;
0 Sensor3 232;
0 Sensor4 235;
0 Sensor5 234;
0 Sensor6 233;
51 Sensor1 233;
0 Sensor2 232;
65 Sensor3 233;
0 Sensor4 234;
0 Sensor5 235;
0 Sensor6 233;
117 Sensor1 235;
0 Sensor2 236;
0 Sensor3 233;
59 Sensor4 235;
0 Sensor5 235;
0 Sensor6 235;
61 Sensor1 233;
62 Sensor2 232;
0 Sensor3 233;
0 Sensor4 233;
0 Sensor5 234;
58 Sensor6 234;
63 Sensor1 234;
0 Sensor2 234;
57 Sensor3 232;
